"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Model_1 - Copy.nlogo"
"Experiment 4"
"08/25/2024 18:20:55:121 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","initial-idea1-holders","initial-idea2-holders","number-of-individuals","average-connections-per-individual","mean-threshold1","mean-threshold2","[step]","count turtles with [ Idea_state = 0 ] / count turtles","count turtles with [ Idea_state = 1 ] / count turtles","count turtles with [ Idea_state = 2 ] / count turtles"
"318","7","7","300","8","0","0.15","70","0","0.6633333333333333","0.33666666666666667"
"324","7","7","300","8","0","0.15","70","0","0.8833333333333333","0.11666666666666667"
"327","7","7","300","8","0","0.15","62","0","0.82","0.18"
"328","7","7","300","8","0","0.15","70","0","0.73","0.27"
"329","7","7","300","8","0","0.15","70","0","0.9766666666666667","0.023333333333333334"
"325","7","7","300","8","0","0.15","70","0","0.7333333333333333","0.26666666666666666"
"313","7","7","300","8","0","0.15","70","0","0.9966666666666667","0.0033333333333333335"
"332","7","7","300","8","0","0.15","70","0","0.9033333333333333","0.09666666666666666"
"330","7","7","300","8","0","0.15","70","0","0.71","0.29"
"335","7","7","300","8","0","0.15","33","0","0.72","0.28"
"321","7","7","300","8","0","0.15","70","0","0.6866666666666666","0.31333333333333335"
"336","7","7","300","8","0","0.15","70","0","0.8266666666666667","0.17333333333333334"
"338","7","7","300","8","0","0.15","53","0","0.8166666666666667","0.18333333333333332"
"323","7","7","300","8","0","0.15","70","0","0.8","0.2"
"339","7","7","300","8","0","0.15","70","0","0.5733333333333334","0.4266666666666667"
"333","7","7","300","8","0","0.15","68","0","0.8933333333333333","0.10666666666666667"
"341","7","7","300","8","0","0.15","70","0","0.7333333333333333","0.26666666666666666"
"331","7","7","300","8","0","0.15","70","0","0.6766666666666666","0.3233333333333333"
"340","7","7","300","8","0","0.15","70","0","0.6066666666666667","0.3933333333333333"
"344","7","7","300","8","0","0.15","57","0","0.6733333333333333","0.32666666666666666"
"334","7","7","300","8","0","0.15","70","0","0.8266666666666667","0.17333333333333334"
